station_code,station_name,state,railway_zone,address,latitude,longitude,is_valid_coordinate,is_test_dummy_record,metro_cluster
SOG,SURATGARH JN,Rajasthan,NWR,"National Highway 15, Rajasthan",29.324152,73.907248,True,False,OTHER
SNV,Sondad,Maharashtra,SECR,"National Highway 6, Maharashtra",21.079845,80.094149,True,False,OTHER
QMRS,Kayamsar,Rajasthan,NWR,"State Highway 41, Rajasthan",28.125576,75.000562,True,False,Chennai
AYB,Aliyabad,Karnataka,SWR,"Bijapur, Karnataka",16.878268,75.758306,True,False,OTHER
MBF,Munabao,Rajasthan,NWR,"Barmer, Rajasthan",25.742614,70.276543,True,False,OTHER
CLDR,Chilikidara,Orissa,ECoR,"Orissa, Orissa",21.243022,85.827112,True,False,OTHER
KLYT,Kolayat,Rajasthan,NWR,"Kolayat, Rajasthan",27.835319,72.955074,True,False,OTHER
CLD,CHALSA JN,West Bengal,NFR,"Chalsa, West Bengal",26.882215,88.798213,True,False,OTHER
CRX,CARRON,West Bengal,NFR,"National Highway 31C, West Bengal",26.880279,88.9704,True,False,OTHER
ETF,ITARSI F CABIN,UNKNOWN,UNKNOWN,,22.61521,77.774856,True,False,OTHER
CNPI,Chandanpahari,Jharkhand,ER,"Chandanpahari, Jharkhand",24.404224,86.953082,True,False,OTHER
MIG,MIDGHAT,UNKNOWN,UNKNOWN,,22.828141,77.647526,True,False,OTHER
BNU,BANDAKPUR,UNKNOWN,UNKNOWN,,23.848206,79.575956,True,False,OTHER
COD,Chhota Gudha,Rajasthan,NWR,"Ringas, Rajasthan",27.293803,75.599508,True,False,OTHER
CHQ,CHOKA,UNKNOWN,UNKNOWN,,22.864326,77.638968,True,False,OTHER
MB,MORADABAD,UNKNOWN,UNKNOWN,,28.831621,78.765801,True,False,OTHER
IRA,ISRANA,Haryana,NR,"Israna, Haryana",29.291379,76.85286,True,False,OTHER
KRCA,KARACHIYA YARD,UNKNOWN,UNKNOWN,,22.380046,73.132981,True,False,OTHER
BJW,BAJVA,UNKNOWN,UNKNOWN,,22.366223,73.143125,True,False,OTHER
CLN,KOLLIDAM,Tamil Nadu,SR,"Vallampadugai, Tamil Nadu",11.332713,79.718347,True,False,OTHER
OSHI,OSHI,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
CNA,CHANDERIYA,Rajasthan,WR,"Chittorgarh, Rajasthan",24.939558,74.629979,True,False,OTHER
CRC,CHARKHARI ROAD,Uttar Pradesh,NCR,"Charkhari, Uttar Pradesh",25.307556,79.745653,True,False,OTHER
BTT,BHATNI JN,UNKNOWN,UNKNOWN,,26.381257,83.934035,True,False,OTHER
CSZ,Cossimbazar,West Bengal,ER,"Berhampore, West Bengal",24.122264,88.266903,True,False,OTHER
VRE,VAREDIYA,UNKNOWN,UNKNOWN,,21.85838,73.048979,True,False,OTHER
NIU,NABIPUR,UNKNOWN,UNKNOWN,,21.807541,73.030592,True,False,OTHER
KTTY,KTTY,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
CVJ,CHAVAJ,UNKNOWN,UNKNOWN,,21.753134,73.010489,True,False,OTHER
AKV,ANKLESHWAR JN,UNKNOWN,UNKNOWN,,21.623889,73.000633,True,False,OTHER
CNE,CHANDRANATHPUR,Assam,NFR,"National Highway 54, Assam",24.984962,92.716658,True,False,OTHER
PAO,PANOLI,UNKNOWN,UNKNOWN,,21.535197,72.978371,True,False,OTHER
CNL,CHANDAWAL,Rajasthan,NWR,"Pali, Rajasthan",25.946543,73.868815,True,False,OTHER
BFY,BHESANA,Rajasthan,NWR,"Marwar, Rajasthan",25.82438,73.71809,True,False,OTHER
HAT,HATHURAN,UNKNOWN,UNKNOWN,,21.501091,72.969512,True,False,OTHER
COL,Coromandel,Karnataka,SWR,"KGF, Karnataka",12.97518,78.257278,True,False,OTHER
KDSD,KUDSAD,UNKNOWN,UNKNOWN,,21.37682,72.91648,True,False,OTHER
SYN,SAYAN,UNKNOWN,UNKNOWN,,21.317203,72.890287,True,False,OTHER
MQP,Makrandpur,Uttar Pradesh,NER,"Aonla- Bareilly Link Rd, Uttar Pradesh",28.213407,79.290097,True,False,OTHER
GTX,GOTHANGAM,UNKNOWN,UNKNOWN,,21.294043,72.880104,True,False,OTHER
MGK,MULANGUNNATHUKAVU,UNKNOWN,UNKNOWN,,10.596939,76.207809,True,False,OTHER
CNKP,CHANAKYAPURI,Delhi NCT,NR,"Chanakyapuri, Delhi NCT",28.591905,77.172004,True,False,Delhi
URN,UTRAN,UNKNOWN,UNKNOWN,,21.232602,72.854796,True,False,OTHER
